zaklad;prisada_1;prisada_2;velikost;produkt;cena;zaklad_g;prisada_1g;prisada_2g;resultTitle;resultDesc
cerny;undefined;undefined;50g;;;50;0;0;Černý čaj - Ceylon<br>BOP1 Blend;
cerny;undefined;undefined;100g;;;100;0;0;Černý čaj - Ceylon<br>BOP1 Blend;
cerny;undefined;undefined;200g;;;200;0;0;Černý čaj - Ceylon<br>BOP1 Blend;
cerny;undefined;ananas;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;undefined;ananas;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;undefined;ananas;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;undefined;banan;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;undefined;banan;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;undefined;banan;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;undefined;boruvka;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;undefined;boruvka;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;undefined;boruvka;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;undefined;brusinka;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;undefined;brusinka;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;undefined;brusinka;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;undefined;cerny_rybiz;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz
cerny;undefined;cerny_rybiz;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz
cerny;undefined;cerny_rybiz;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz
cerny;undefined;hruska;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Hruška
cerny;undefined;hruska;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Hruška
cerny;undefined;hruska;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Hruška
cerny;undefined;jablko;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Jablko
cerny;undefined;jablko;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Jablko
cerny;undefined;jablko;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Jablko
cerny;undefined;jahoda;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Jahoda
cerny;undefined;jahoda;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Jahoda
cerny;undefined;jahoda;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Jahoda
cerny;undefined;kustovnice;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Kustovnice
cerny;undefined;kustovnice;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Kustovnice
cerny;undefined;kustovnice;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Kustovnice
cerny;undefined;malina;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Malina
cerny;undefined;malina;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Malina
cerny;undefined;malina;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Malina
cerny;undefined;mango;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Mango
cerny;undefined;mango;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Mango
cerny;undefined;mango;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Mango
cerny;undefined;ostruzina;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Ostružina
cerny;undefined;ostruzina;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Ostružina
cerny;undefined;ostruzina;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Ostružina
cerny;undefined;rakytnik;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Rakytník
cerny;undefined;rakytnik;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Rakytník
cerny;undefined;rakytnik;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Rakytník
cerny;undefined;visen;50g;;;40;0;10;Černý čaj - Ceylon<br>BOP1 Blend;Višeň
cerny;undefined;visen;100g;;;80;0;20;Černý čaj - Ceylon<br>BOP1 Blend;Višeň
cerny;undefined;visen;200g;;;160;0;40;Černý čaj - Ceylon<br>BOP1 Blend;Višen
cerny;ananas;undefined;50g;;;40;10;0;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;ananas;undefined;100g;;;80;20;0;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;ananas;undefined;200g;;;160;40;0;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;ananas;ananas;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;ananas;ananas;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;ananas;ananas;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas
cerny;ananas;banan;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Banán
cerny;ananas;banan;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Banán
cerny;ananas;banan;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Banán
cerny;ananas;boruvka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Borůvka
cerny;ananas;boruvka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Borůvka
cerny;ananas;boruvka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Borůvka
cerny;ananas;brusinka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Brusinka
cerny;ananas;brusinka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Brusinka
cerny;ananas;brusinka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Brusinka
cerny;ananas;cerny_rybiz;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Černý rybíz
cerny;ananas;cerny_rybiz;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Černý rybíz
cerny;ananas;cerny_rybiz;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Černý rybíz
cerny;ananas;hruska;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Hruška
cerny;ananas;hruska;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Hruška
cerny;ananas;hruska;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Hruška
cerny;ananas;jablko;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Jablko
cerny;ananas;jablko;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Jablko
cerny;ananas;jablko;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Jablko
cerny;ananas;jahoda;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Jahoda
cerny;ananas;jahoda;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Jahoda
cerny;ananas;jahoda;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Jahoda
cerny;ananas;kustovnice;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Kustovnice
cerny;ananas;kustovnice;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Kustovnice
