chut;aroma;mleti;velikost;produkt;cena;kenya;guatemala;brasil;costarica;colombia;indonesia;resultTitle;resultDesc
0;1;cela_zrna;250g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;cela_zrna;500g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;cela_zrna;1000g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;prekapavana;250g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;prekapavana;1000g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;french_press;250g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;french_press;500g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;espresso;250g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;espresso;500g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;espresso;1000g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;moka;500g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;moka;1000g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;turek;250g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;1;turek;1000g;;;100;0;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 100%
0;2;cela_zrna;250g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;cela_zrna;500g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;cela_zrna;1000g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;prekapavana;250g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;prekapavana;500g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;prekapavana;1000g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;french_press;250g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;french_press;500g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
0;2;french_press;1000g;;;98;2;0;0;0;0;Směs kávy<br>100% Arabica;Kenya 98%<br>Guatemala Tres 2%
